what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1483755614656
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755620958
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755624508
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483755624648
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483755624712
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1483755632587
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1483755636790
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483755642597
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755644209
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755644583
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1483755644711
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1483755650049
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755652373
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755673428
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483755673524
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483755673584
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483755695222
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1483755702680
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483755704671
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1483755705819
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483755705973
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1483755707205
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755714562
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755723220
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483755723316
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483755723368
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755767576
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755799584
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1483755807572
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1483755818504
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1483755834101
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1483755836982
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483755837520
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1483755838254
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.format",1483755839520
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1483755847190
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483755856080
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755865696
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755876801
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755877547
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755878975
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483755880630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755884542
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755886659
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755888117
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483755893173
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483755896181
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1483755907437
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1483755913015
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483755914649
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483755968618
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483755974942
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483755977196
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1483755982429
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483755982883
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483755992625
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483756001833
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483756009986
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483756041288
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483756047410
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483756051000
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483756056552
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483756056688
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483756062996
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483756065446
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483756066473
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1483756071312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483756075919
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483756076057
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1483756080556
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483756083551
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1483756221010
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1483756222428
