what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487972990076
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487972992600
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487972992781
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487972992859
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487972998758
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973000273
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973000531
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487973000559
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487973004973
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973006507
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973006866
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487973006927
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487973017884
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973019852
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973029892
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487973029962
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487973039905
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973041964
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973043305
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487973043357
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487973046826
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973048296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973048586
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487973048636
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1487973063707
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487973066828
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973068354
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973068647
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487973068696
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487973115552
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973117855
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973118150
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487973118212
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487973132631
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973134154
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973134940
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487973134999
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1487973146081
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487973154322
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973155809
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973156093
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487973156147
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487973172876
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973174526
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973175181
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487973175235
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487973182238
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1487973182796
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.format",1487973183628
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487973184179
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487973196744
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973198390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487973198691
