what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1487949323815
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1487949323816
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1487949323817
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1487949323818
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1487949323819
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1487949323820
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1487949323821
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1487949323822
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1487949323823
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1487949323823
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1487949323825
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1487949323825
os,sysinfo,,,"win32",1487949323828
arch,sysinfo,,,"x86_64",1487949323828
ws,sysinfo,,,"win32",1487949323828
locale,sysinfo,,,"en_US",1487949323828
processors,sysinfo,,,"4",1487949323828
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1487949323828
java.runtime.version,sysinfo,,,"1.8.0_111-b14",1487949323828
java.specification.name,sysinfo,,,"Java Platform API Specification",1487949323828
java.specification.vendor,sysinfo,,,"Oracle Corporation",1487949323828
java.specification.version,sysinfo,,,"1.8",1487949323828
java.vendor,sysinfo,,,"Oracle Corporation",1487949323828
java.version,sysinfo,,,"1.8.0_111",1487949323828
java.vm.info,sysinfo,,,"mixed mode",1487949323828
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1487949323828
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1487949323828
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1487949323828
java.vm.specification.version,sysinfo,,,"1.8",1487949323828
java.vm.vendor,sysinfo,,,"Oracle Corporation",1487949323828
java.vm.version,sysinfo,,,"25.111-b14",1487949323828
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1487949331772
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1487949342266
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1487949342341
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1487949342344
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1487949349360
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1487949349428
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1487949354343
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1487949356192
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1487949356428
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1487949356470
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487949357714
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487949441309
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487949462136
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487949479656
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487949515719
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487949521750
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487949523484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487949523795
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487949523890
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1487949535495
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1487949538601
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1487949538619
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1487949538624
started,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1487949538664
started,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1487949538666
started,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1487949538840
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487949567894
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487949570175
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487949570661
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487949570741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487949592267
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487949594213
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487949595232
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487949595305
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487949608284
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487949635222
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487949640550
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1487949652488
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487949654001
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1487949654395
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487949654475
