what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1490200191952
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1490200191952
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1490200191952
java.vm.specification.version,sysinfo,,,"1.8",1490200191952
java.vm.vendor,sysinfo,,,"Oracle Corporation",1490200191952
java.vm.version,sysinfo,,,"25.111-b14",1490200191952
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490200204729
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1490200206783
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1490200206794
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1490200208772
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1490200212579
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200216115
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200224592
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1490200225045
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1490200225126
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1490200228418
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1490200228431
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1490200228435
started,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1490200228467
started,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1490200228469
started,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1490200228585
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1490200228645
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1490200228657
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490200282523
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490200302544
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1490200456826
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490200459718
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200461363
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200461763
no handler,command,org.eclipse.jdt.debug.ui,,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490200461772
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1490200465868
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1490200466139
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1490200466185
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490200467437
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490200474974
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200476869
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200477195
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490200477263
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1490200530233
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490200532472
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1490200559581
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1490200561588
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490200577142
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200581128
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200581476
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490200581545
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1490200586552
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.format",1490200587137
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490200587602
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490200593144
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200594763
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200595080
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490200595137
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200601544
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200671922
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490200721218
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1490200721938
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.format",1490200722488
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490200722935
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200727377
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200727915
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490200727983
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490200800623
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200809090
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200809564
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1490200809609
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1490200817027
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200818592
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1490200818917
